Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 21 Enplanements,CY 20 Enplanements,% Change
392,AL,AK,YAK,Yakutat,Yakutat,P,N,"10,899","5,959",82.90%
393,GL,IL,MWA,Marion,Veterans Airport of Southern Illinois,P,N,"10,522","5,783",81.95%
394,EA,NY,BGM,Binghamton,Greater Binghamton/Edwin A Link Field,P,N,"10,347","8,504",21.67%
395,CE,MO,BBG,Branson,Branson,P,N,"10,326","7,068",46.10%
396,EA,NY,OGS,Ogdensburg,Ogdensburg International,P,N,"10,309","9,259",11.34%
397,AL,AK,GST,Gustavus,Gustavus,P,N,"10,305","2,959",248.26%
398,NM,WA,ORS,Eastsound,Orcas Island,P,N,"10,138","4,595",120.63%
,,,238,Nonhub Primary ,,,N Count,,,
400,NM,CO,PUB,Pueblo,Pueblo Memorial,CS,None,"9,624","5,384",78.75%
401,NE,MA,BED,Bedford,Laurence G Hanscom Field,CS,None,"9,572","4,695",103.88%
402,CE,MO,CGI,Cape Girardeau,Cape Girardeau Regional,CS,None,"9,244","4,573",102.14%
404,NM,UT,VEL,Vernal,Vernal Regional,CS,None,"9,168","5,745",59.58%
405,WP,MP,GRO,Northern Islands (Municipality),Benjamin Taisacan Manglona International,CS,None,"9,094","5,456",66.68%
406,GL,IL,DEC,Decatur,Decatur,CS,None,"9,001","3,429",162.50%
407,SO,FL,FXE,Fort Lauderdale,Fort Lauderdale Exec,CS,None,"8,897","4,096",117.21%
408,NE,ME,BHB,Bar Harbor,Hancock County/Bar Harbor,CS,None,"8,874","2,838",212.68%
410,EA,PA,JST,Johnstown,John Murtha Johnstown/Cambria County,CS,None,"8,519","3,149",170.53%
411,NM,WA,W33,Friday Harbor,Friday Harbor,CS,None,"8,504","2,563",231.80%
414,NM,MT,SDY,Sidney,Sidney-Richland Regional,CS,None,"8,356","6,965",19.97%
415,GL,MN,INL,International Falls,Falls International/Einarson Field,CS,None,"8,277","5,884",40.67%
416,CE,KS,DDC,Dodge City,Dodge City Regional,CS,None,"8,246","2,698",205.63%
418,WP,AS,PPG,Pago Pago,Pago Pago International,CS,None,"8,000","12,563",-36.32%
419,AL,AK,GAL,Galena,Edward G Pitka Sr,CS,None,"7,978","4,166",91.50%
420,WP,CA,CEC,Crescent City,Jack McNamara Field,CS,None,"7,743","4,022",92.52%
421,CE,IA,MCW,Clear Lake,Mason City Municipal,CS,None,"7,741","3,503",120.98%
422,NE,MA,PVC,Provincetown,Provincetown Municipal,CS,None,"7,707","2,821",173.20%
423,NE,NH,LEB,Lebanon,Lebanon Municipal,CS,None,"7,597","3,707",104.94%
424,SW,NM,CVN,Clovis,Clovis Regional,CS,None,"7,575","2,643",186.61%
426,GL,MN,TVF,Thief River Falls,Thief River Falls Regional,CS,None,"7,423","2,812",163.98%
427,GL,IL,UIN,Quincy,Quincy Regional-Baldwin Field,CS,None,"7,418","4,929",50.50%
428,AL,AK,HNS,Haines,Haines,CS,None,"7,206","4,093",76.06%
429,CE,IA,FOD,Fort Dodge,Fort Dodge Regional,CS,None,"7,199","3,702",94.46%
432,GL,ND,DVL,Devils Lake,Devils Lake Regional,CS,None,"6,799","3,983",70.70%
433,NM,CO,TEX,Telluride,Telluride Regional,CS,None,"6,691","3,743",78.76%
434,CE,KS,LBL,Liberal,Liberal Mid-America Regional,CS,None,"6,653","3,117",113.44%
435,SO,AL,MSL,Muscle Shoals,Northwest Alabama Regional,CS,None,"6,614","3,508",88.54%
436,SW,TX,VCT,Victoria,Victoria Regional,CS,None,"6,610","2,837",132.99%
437,AL,AK,UNK,Unalakleet,Unalakleet,CS,None,"6,594","4,359",51.27%
439,EA,WV,MGW,Morgantown,Morgantown Municipal (Walter L Bill Hart Field),CS,None,"6,450","3,369",91.45%
441,SO,PR,MAZ,Mayaguez,Eugenio Maria De Hostos,CS,None,"6,294","4,718",33.40%
442,NM,CO,CEZ,Cortez,Cortez Municipal,CS,None,"6,195","5,603",10.57%
444,AL,AK,ENM,Emmonak,Emmonak,CS,None,"5,995","3,059",95.98%
446,EA,WV,PKB,Parkersburg,Mid-Ohio Valley Regional,CS,None,"5,887","2,944",99.97%
448,SO,MS,GLH,Greenville,Greenville Mid-Delta,CS,None,"5,608","2,785",101.36%
449,AL,AK,HNH,Hoonah,Hoonah,CS,None,"5,575","4,472",24.66%
450,WP,CA,MCE,Merced,Merced Regional/Macready Field,CS,None,"5,301","4,499",17.83%
451,NM,CO,FNL,Loveland,Northern Colorado Regional,CS,None,"5,248","1,112",371.94%
452,AL,AK,VDZ,Valdez,Valdez Pioneer Field,CS,None,"5,195","1,116",365.50%
453,WP,CA,IPL,Imperial,Imperial County,CS,None,"5,181","2,716",90.76%
454,GL,MI,MBL,Manistee,Manistee County/Blacker,CS,None,"5,108",613,733.28%
456,SW,NM,SVC,Silver City,Grant County,CS,None,"4,921","3,010",63.49%
457,EA,WV,BKW,Beckley,Raleigh County Memorial,CS,None,"4,863","5,002",-2.78%
458,GL,MI,IWD,Ironwood,Gogebic/Iron County,CS,None,"4,763","2,541",87.45%
